MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Scientific Name,Kingdom,Phylum,Order,Family,Genus,Specific Epithet,Status,Verbatim Taxon Rank,Identifier,Life Science Identifier (PID)
mbo_taxon_animalia,mbo_sformel,mbo_db_tool_population,Animals,Animalia,Animalia,,,,,,accepted,kingdom,worms:2,urn:lsid:marinespecies.org:taxname:2
mbo_taxon_plants,mbo_sformel,mbo_db_tool_population,Plants,Plantae,Plantae,,,,,,accepted,kingdom,worms:3,urn:lsid:marinespecies.org:taxname:3
mbo_taxon_vertebrata,mbo_sformel,mbo_db_tool_population,Vertebrates,Vertebrata,Animalia,,,,,,accepted,subphylum,worms:146419,urn:lsid:marinespecies.org:taxname:146419
mbo_taxon_eukaryota,mbo_sformel,mbo_db_tool_population,Eukaryota,Eukaryota,Undefined,,,,,,accepted,domain,col:CS5HF,
mbo_taxon_birds,mbo_aperedoarce,mbo_wp5_t5_1_1,Birds,,,,,,,,,,,
mbo_taxon_fish,mbo_aperedoarce,mbo_wp5_t5_1_1,Fish,,,,,,,,,,,
mbo_taxon_invertebrates,mbo_aperedoarce,mbo_wp5_t5_1_1,Invertebrates,,,,,,,,,,,
mbo_taxon_macroalgae,mbo_aperedoarce,mbo_wp5_t5_1_1,Macroalgae,,,,,,,,,,,
mbo_taxon_phytoplankton,mbo_aperedoarce,mbo_wp5_t5_1_1,Phytoplankton,,,,,,,,,,,
mbo_taxon_zooplankton,mbo_aperedoarce,mbo_wp5_t5_1_1,Zooplankton,,,,,,,,,,,
mbo_taxon_engraulis_encrasicolus,mbo_sformel,mbo_wp2_d2_2,European anchovy,Engraulis encrasicolus,Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,encrasicolus,accepted,species,worms:126426,urn:lsid:marinespecies.org:taxname:126426
mbo_taxon_bacteria,mbo_sformel,mbo_wp2_d2_2,Bacteria,Bacteria,,,,,,,accepted,kingdom,worms:6,urn:lsid:marinespecies.org:taxname:6
mbo_taxon_archaea,mbo_sformel,mbo_wp2_d2_2,Archaea,Archaea,,,,,,,accepted,kingdom,worms:8,urn:lsid:marinespecies.org:taxname:8
